"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Nakhon Pathom",40.8075776412677,40.1839471727107,37.2890237167263,37.1088542478336,37.0941683191527,28.0364851522109,24.708223492508,30.8472609268586,28.9135508806715,36.009493839389,36.0856908720032,41.3510598157613,40.5242086989537,41.89189000898,40.7573099302024,38.5180142657908,39.3726071702112,38.504132957976,35.2447151272897,34.2995379969983,35.2900971337484,34.6570968981675,36.3164573343474,36.1640606845252,50.5362326541583,45.5898658872248
"Nakhon Phanom",52.4457187496325,48.0367027154781,44.8150114851959,43.5314268466427,42.8354969916851,32.205366863119,30.5281603396303,34.2066278494198,33.5577995242252,28.287220779592,25.5059787091947,34.7311712870099,35.3493167378905,37.2426226709882,39.5908466920556,37.0373941283943,37.0054463523394,35.2388995102698,40.1172835252897,39.2068937771034,30.2859243317252,28.2832426968778,30.8796085575262,26.6789937373608,86.3593443483702,58.5292331617783
"Nakhon Ratchasima",51.349890957259,48.1925502424192,44.920793222297,44.2272764498697,43.7729774728693,35.1710592402264,34.4549345871618,31.6929259397556,29.0096271685943,41.6451558930778,41.5020780686035,36.2208185056373,36.1519102315343,39.3172019475023,39.0188287510777,38.7470632075453,36.8580855530249,36.6053766406271,35.1321024664259,34.9654862937408,36.4078154503665,35.4962191891822,37.6364575309202,37.239378373118,48.9255840655777,46.7354654013506
"Nakhon Sawan",44.57158125767,43.4530192496711,40.7232509114405,39.5346200406401,39.8809001568046,32.2971564153983,30.399980553598,32.1052256617754,29.4379558326767,38.8046259444757,36.6763223968371,39.1529521442857,37.9367250325329,39.4806909528822,38.8293427137588,38.7570750721029,41.1027796009815,39.5116268143447,44.1706370779243,43.6131817678577,36.3030029369532,35.2077521424733,41.3363503351067,40.349099550684,49.4259756149837,49.9309108565513
"Nakhon Si Thammarat",43.0393910859751,41.350059373419,40.1862476634772,39.2821248763743,37.4431458833402,33.4237300901622,31.9443044086733,39.2319707145892,36.1280744022306,42.5371166627036,40.3699134861088,43.188379371471,41.8863740199015,39.5067428104421,38.7050397350895,38.4179049531544,41.6088462887034,40.7771446316754,45.7047265961099,44.0330852624837,34.9703544133182,32.7097225195495,36.3025068123971,34.8356590564578,37.6578120455221,37.191560692646
"Nan",39.4983683666027,38.8402055951344,36.9722878375259,36.4393129432308,36.659460886985,32.678711972045,32.9485818575413,32.6459893044417,30.4499578262843,45.8980451219595,42.3237253688054,36.0294803307135,35.6790590989667,37.3386004747923,37.0401108120938,37.293141501519,39.5642042494212,39.2605668342121,36.6605782572904,36.6662470695927,43.4383360773256,42.0024922865798,33.1320137112738,31.5066870312719,45.1399179293874,42.4606008470866
"Narathiwat",42.9666733453666,40.9238738629289,37.6263782161288,35.3731301311856,34.7346404327072,38.3202887156663,36.6139571776146,36.2482089368472,33.8580158348793,34.7629332875069,34.3696150526193,48.3504558280326,43.873427337788,37.5388756786409,37.0199704531473,35.9373108523547,38.9111930123939,36.4839871991257,42.0859343043647,38.9001375018648,40.5892954452907,40.7990379494929,38.4803131728104,36.7421345608153,36.7871408679933,34.8484894943076
"Nong Khai",65.6174723916297,54.1988505191923,40.0330141926299,38.9942671059282,39.0443510417724,27.8799629713569,20.8552627835755,41.5803394674947,42.2437433571371,38.3955258882058,36.9563636143995,40.5915370410615,39.9666607329577,36.0477033567219,35.5599544514832,33.6899675650643,32.0995850914766,31.6240978541092,34.16495349084,32.4305323086154,34.0064084183921,34.3175714968566,35.0121353905912,32.7287280652665,106.317057117817,61.632792244434
"Nonthaburi",43.4927333886717,42.109375721575,33.532654868038,33.2581723666542,32.8546297681922,28.1379691598756,26.0919937447492,28.1373304311455,25.7325793141002,36.8740182260909,35.3523278171486,36.0022661135744,35.3707082748606,40.57326214678,38.8928375102961,39.3675045724001,37.0343360117272,35.7127031895908,40.3223858324176,39.2888347910334,30.9644343906671,29.993695052926,32.0569085031756,30.8246227680251,48.610835151036,45.6886664049482
"Pathum Thani",45.165099309842,43.1953298024749,34.1494094633929,34.501008790848,33.6032026207976,26.357172494474,22.6163640551034,27.7643585030617,25.8446612086605,48.109065745966,43.1109756562021,29.8076846656484,26.7431487278274,39.1901211605248,37.8778936381289,36.8517676802135,36.0757861173752,35.8745312320238,46.6561483599804,44.3671411937432,34.2538365822451,32.9667377594608,32.7369464964965,32.2597074900973,39.4636898907478,39.8946944761267
"Pattani",46.0885066264944,43.36056894849,41.5333829315613,40.2135096801324,36.0872699955876,41.9889355784037,39.508790239209,31.5925372219943,29.9023689023164,43.509278308951,40.9602741322658,40.0564159665173,38.3424988149186,43.1683485256669,40.8505168978592,42.3710058682263,36.011338139476,35.6435306569522,37.9310381567342,34.5972642837422,35.8638739112188,32.9410906957763,38.0529475587443,34.3391086902358,39.8725190521261,40.9044471858243
"Phangnga",33.4903217921893,30.6921225710867,41.0511072928843,40.6196992769935,39.3695016891025,32.449675086317,28.1146901145945,43.5872271177071,40.6652522928624,33.2733558851486,33.3196282266929,36.4655668600341,36.5317623517693,34.2143721356467,32.2893198129156,33.8547093882131,38.1800344780298,37.256663904448,46.4446431528246,44.5028847572777,34.9700273298921,34.1468002673879,39.3308503542821,37.1514638312475,40.9803829997079,40.3973595898029
"Phatthalung",40.2868421280527,38.8386873947767,39.103832324099,36.1049435566722,36.3246047458821,35.2116657791203,35.5808610911885,35.356978836909,37.5192947959979,38.7344494916088,40.7817769037017,41.1256353801751,42.6555289053626,36.1308026975462,37.823877012663,35.8410819449728,43.5779004677841,43.2072196964852,34.3590389587421,32.9166553923337,39.3602545946828,37.2914414092962,38.0185914154032,38.2635639374285,47.0555791106487,44.5392799581902
"Phayao",45.2163574648027,40.2655413107395,42.1416214180949,40.9591583772157,39.8580486871928,36.3764188737012,35.6670991303485,31.3497353537475,30.052268912757,41.7519414622575,41.4029197132189,36.5613250019548,38.4747938589489,38.2828373510924,39.4145726409834,36.4870288508767,28.8725963710568,25.4769879149883,43.7686336867152,42.9912911913852,38.4112780117856,35.6921851472446,40.7689687603502,41.1070720426514,37.7970549314798,39.6811041518302
"Phetchabun",59.7856013318521,52.4208741633148,40.4590085764599,40.2626314669563,40.2431121655204,35.0472563916282,34.3927250285996,32.5238484963126,30.3993724600879,31.7348889869745,30.2898763659403,35.9240538604095,35.0849170522028,40.8735212606679,40.80054675331,39.4396945755736,30.4593820400266,25.8107598230345,38.8711198205968,36.3885811639264,40.7004623349723,38.6948979791649,37.8753696694575,35.154961175377,61.9925664520322,51.3009528451592
"Phetchaburi",41.2708113245139,38.849067401924,39.441065322721,39.3980915876455,37.7825248008641,29.3179567802239,25.4362763130965,32.5245530228217,29.5524845869572,37.1431400991348,36.8536544792555,45.1220879059783,41.8339026130258,39.0750661559951,38.0852644449846,37.3365348409271,39.2383790140065,38.8847347689575,34.6729054500823,33.0641018982875,33.1766267743041,29.3358236985602,40.848770908322,35.7281222993892,67.3579377457606,48.2011853583817
"Phichit",44.7680732036542,44.105143224183,41.6537014115891,40.5036920270696,40.1807982295916,29.5860831820171,26.733152432251,30.1596825099677,28.0722449516851,40.6548529611607,39.5824791575867,38.452617754854,38.0298600871634,35.6276819674814,32.6324707943295,31.4779989918748,39.8704630907236,37.6256891498826,41.1414585830479,39.4659370395629,34.3990345088299,34.6186957154504,32.3593294472982,31.0766207457679,47.2241668492934,43.0756732425499
"Phitsanulok",41.9600960451693,41.298105253504,41.521663252766,41.1976370421562,40.8192040427302,31.3623792155683,29.9175920793998,28.0042152293404,24.6736286941825,38.6295385527268,37.8811790222795,47.2515329363595,44.5152313574789,32.4940107505473,31.3613324558635,29.1653538064878,35.600389698527,34.8447604242605,34.2115040143043,33.529977839383,38.1825481518343,38.1425433910662,36.479198442535,35.7608567813164,62.4505741195073,57.2151798868617
"Phrae",43.2655774023568,42.6077890755875,40.346529431064,40.2235719336257,39.5602153736596,33.8335026543711,32.6092990943996,30.5916258328547,30.2670817970567,38.5393101842013,36.9737968775917,43.4296192781212,41.095543480153,37.6973085160673,37.8635806917398,37.8984556798086,40.0294896898525,38.8951525736506,40.1469371584414,39.6041576070053,38.1091585201799,36.5701812255239,34.2862326555362,33.4276447439725,53.3329560923008,50.7928249357851
"Phra Nakhon Si Ayutthaya",52.4345847038102,47.9068950574982,36.9790793871866,36.0407351800981,36.6952308560011,32.6211035361114,32.4731111715694,33.4385020416296,31.0695434870845,42.1483906712306,42.5409898809697,44.0656198023249,41.7714017783352,33.8994895076638,31.1554060213223,29.443883954615,34.9344562684562,31.4035331703947,39.0515468730375,39.3190040482776,32.9051984744032,32.3933985446068,43.0744896916983,39.8132481661828,53.9308848521467,44.7567776385185
"Phuket",39.5848589554061,36.5618834294537,42.2061562567903,38.9013251422407,38.6258540976466,31.6980769414614,31.241884079987,35.2530725573732,32.8570635517121,30.3192003348213,26.3625050526502,40.4147061805691,38.1054871896023,43.0021548144258,41.6710925188558,38.3732212917831,31.8732406861722,30.8494802089067,47.6782972584147,42.9338349398401,31.4014590965394,28.072276450126,34.2687904025134,30.8247262642345,40.6649333234918,34.7478069274176
"Prachin Buri",37.1850501798726,36.3139685549103,37.7549292828057,37.5129198643708,37.1090409676003,29.103061512336,27.2719424249162,29.0189203869194,26.9872966531414,42.8623445724666,40.0336726727439,32.7778941896336,32.6561152020749,34.2140752582775,34.2790038449522,34.3104491261843,30.219387184751,29.872605426059,37.6221900495811,36.2539112388177,30.9054206653942,29.5159882154605,34.1322097570434,33.1346424813841,40.7413079365069,42.2460519536286
"Prachuap Khiri Khan",40.6564625639473,40.0985614537936,42.4801981902269,42.6402471363566,41.2947121126796,31.8677783756472,29.5549203289803,30.4002388877988,26.1985804878084,45.6090364353142,40.9469329519821,31.1379899094193,25.8883034353141,46.4626302355225,41.4884133880909,41.4393765238276,31.5554018035331,29.2573728419078,43.8323967563518,40.3965444054712,40.8530346653173,39.9491263713597,40.2688541322494,37.101138587942,51.0694167519316,45.4647694491233
"Ranong",32.9589971466039,34.372724541217,39.2952823947387,38.6878933154,35.8360132878411,31.6633229229185,28.2843492586025,34.4455894751834,29.437380306341,40.6273206806776,35.5841990248834,32.7372792195601,29.5295209286634,39.6623446190776,37.2619151163599,33.8527154640013,30.7064445491038,25.956979137916,40.0551778891781,33.7054141617644,36.5360359772061,30.8391846159668,33.9749651772862,27.9350255323686,43.3719186666569,40.3828698542497
