"","1980-Jan","1980-Feb","1980-Mar","1980-Apr","1980-May","1980-Jun","1980-Jul","1980-Aug","1980-Sep","1980-Oct","1980-Nov","1980-Dec","1981-Jan","1981-Feb","1981-Mar","1981-Apr","1981-May","1981-Jun","1981-Jul","1981-Aug","1981-Sep","1981-Oct","1981-Nov","1981-Dec","1982-Jan","1982-Feb","1982-Mar","1982-Apr","1982-May","1982-Jun","1982-Jul","1982-Aug","1982-Sep","1982-Oct","1982-Nov","1982-Dec","1983-Jan","1983-Feb","1983-Mar","1983-Apr","1983-May","1983-Jun","1983-Jul","1983-Aug","1983-Sep","1983-Oct","1983-Nov","1983-Dec","1984-Jan","1984-Feb","1984-Mar","1984-Apr","1984-May","1984-Jun","1984-Jul","1984-Aug","1984-Sep","1984-Oct","1984-Nov","1984-Dec","1985-Jan","1985-Feb","1985-Mar","1985-Apr","1985-May","1985-Jun","1985-Jul","1985-Aug","1985-Sep","1985-Oct","1985-Nov","1985-Dec","1986-Jan","1986-Feb","1986-Mar","1986-Apr","1986-May","1986-Jun","1986-Jul","1986-Aug","1986-Sep","1986-Oct","1986-Nov","1986-Dec","1987-Jan","1987-Feb","1987-Mar","1987-Apr","1987-May","1987-Jun","1987-Jul","1987-Aug","1987-Sep","1987-Oct","1987-Nov","1987-Dec","1988-Jan","1988-Feb","1988-Mar","1988-Apr","1988-May","1988-Jun","1988-Jul","1988-Aug","1988-Sep","1988-Oct","1988-Nov","1988-Dec","1989-Jan","1989-Feb","1989-Mar","1989-Apr","1989-May","1989-Jun","1989-Jul","1989-Aug","1989-Sep","1989-Oct","1989-Nov","1989-Dec","1990-Jan","1990-Feb","1990-Mar","1990-Apr","1990-May","1990-Jun","1990-Jul","1990-Aug","1990-Sep","1990-Oct","1990-Nov","1990-Dec","1991-Jan","1991-Feb","1991-Mar","1991-Apr","1991-May","1991-Jun","1991-Jul","1991-Aug","1991-Sep","1991-Oct","1991-Nov","1991-Dec","1992-Jan","1992-Feb","1992-Mar","1992-Apr","1992-May","1992-Jun","1992-Jul","1992-Aug","1992-Sep","1992-Oct","1992-Nov","1992-Dec","1993-Jan","1993-Feb","1993-Mar","1993-Apr","1993-May","1993-Jun","1993-Jul","1993-Aug","1993-Sep","1993-Oct","1993-Nov","1993-Dec","1994-Jan","1994-Feb","1994-Mar","1994-Apr","1994-May","1994-Jun","1994-Jul","1994-Aug","1994-Sep","1994-Oct","1994-Nov","1994-Dec","1995-Jan","1995-Feb","1995-Mar","1995-Apr","1995-May","1995-Jun","1995-Jul","1995-Aug","1995-Sep","1995-Oct","1995-Nov","1995-Dec","1996-Jan","1996-Feb","1996-Mar","1996-Apr","1996-May","1996-Jun","1996-Jul","1996-Aug","1996-Sep","1996-Oct","1996-Nov","1996-Dec","1997-Jan","1997-Feb","1997-Mar","1997-Apr","1997-May","1997-Jun","1997-Jul","1997-Aug","1997-Sep","1997-Oct","1997-Nov","1997-Dec","1998-Jan","1998-Feb","1998-Mar","1998-Apr","1998-May","1998-Jun","1998-Jul","1998-Aug","1998-Sep","1998-Oct","1998-Nov","1998-Dec","1999-Jan","1999-Feb","1999-Mar","1999-Apr","1999-May","1999-Jun","1999-Jul","1999-Aug","1999-Sep","1999-Oct","1999-Nov","1999-Dec","2000-Jan","2000-Feb","2000-Mar","2000-Apr","2000-May","2000-Jun","2000-Jul","2000-Aug","2000-Sep","2000-Oct","2000-Nov","2000-Dec","2001-Jan","2001-Feb","2001-Mar","2001-Apr","2001-May","2001-Jun","2001-Jul","2001-Aug","2001-Sep","2001-Oct","2001-Nov","2001-Dec","2002-Jan","2002-Feb","2002-Mar","2002-Apr","2002-May","2002-Jun","2002-Jul","2002-Aug","2002-Sep","2002-Oct","2002-Nov","2002-Dec","2003-Jan","2003-Feb","2003-Mar","2003-Apr","2003-May","2003-Jun","2003-Jul","2003-Aug","2003-Sep","2003-Oct","2003-Nov","2003-Dec","2004-Jan","2004-Feb","2004-Mar","2004-Apr","2004-May","2004-Jun","2004-Jul","2004-Aug","2004-Sep","2004-Oct","2004-Nov","2004-Dec","2005-Jan","2005-Feb","2005-Mar","2005-Apr","2005-May","2005-Jun","2005-Jul","2005-Aug","2005-Sep","2005-Oct","2005-Nov","2005-Dec","2006-Jan","2006-Feb","2006-Mar","2006-Apr","2006-May","2006-Jun","2006-Jul","2006-Aug","2006-Sep","2006-Oct","2006-Nov","2006-Dec","2007-Jan","2007-Feb","2007-Mar","2007-Apr","2007-May","2007-Jun","2007-Jul","2007-Aug","2007-Sep","2007-Oct","2007-Nov","2007-Dec","2008-Jan","2008-Feb","2008-Mar","2008-Apr","2008-May","2008-Jun","2008-Jul","2008-Aug","2008-Sep","2008-Oct","2008-Nov","2008-Dec","2009-Jan","2009-Feb","2009-Mar","2009-Apr","2009-May","2009-Jun","2009-Jul","2009-Aug","2009-Sep","2009-Oct","2009-Nov","2009-Dec","2010-Jan","2010-Feb","2010-Mar","2010-Apr","2010-May","2010-Jun","2010-Jul","2010-Aug","2010-Sep","2010-Oct","2010-Nov","2010-Dec","2011-Jan","2011-Feb","2011-Mar","2011-Apr","2011-May","2011-Jun","2011-Jul","2011-Aug","2011-Sep","2011-Oct","2011-Nov","2011-Dec","2012-Jan","2012-Feb","2012-Mar","2012-Apr","2012-May","2012-Jun","2012-Jul","2012-Aug","2012-Sep","2012-Oct","2012-Nov","2012-Dec","2013-Jan","2013-Feb","2013-Mar","2013-Apr","2013-May","2013-Jun","2013-Jul","2013-Aug","2013-Sep","2013-Oct","2013-Nov","2013-Dec","2014-Jan","2014-Feb","2014-Mar","2014-Apr","2014-May","2014-Jun","2014-Jul","2014-Aug","2014-Sep","2014-Oct","2014-Nov","2014-Dec","2015-Jan","2015-Feb","2015-Mar","2015-Apr","2015-May","2015-Jun","2015-Jul","2015-Aug","2015-Sep","2015-Oct","2015-Nov","2015-Dec"
"Phangnga",6,0,3,2,1,0,4,3,3,4,0,5,5,1,6,16,17,11,10,3,3,12,12,7,16,19,27,8,30,25,15,9,7,17,21,38,40,26,25,12,11,9,11,15,18,32,29,18,32,25,34,8,7,7,12,5,12,20,12,10,5,8,7,13,7,4,13,9,4,6,10,8,4,3,9,3,7,14,6,3,5,2,0,0,1,5,4,7,2,9,29,46,23,19,32,48,36,30,36,10,24,8,7,4,3,5,8,2,6,4,6,4,4,2,2,4,4,3,4,5,2,8,8,2,6,5,4,7,6,26,26,27,29,37,24,6,3,0,2,3,2,3,2,0,2,1,0,2,2,0,3,1,3,1,0,0,2,1,8,7,6,4,5,7,3,14,7,2,7,2,17,7,5,10,12,8,6,10,4,0,2,1,4,2,4,12,0,16,14,25,12,3,12,6,6,1,3,1,2,4,1,0,1,2,1,1,1,4,0,2,2,1,1,1,1,0,6,3,4,0,2,3,1,1,0,1,1,0,0,3,0,3,2,1,18,15,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,3,0,7,2,1,1,2,1,2,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,7,5,2,3,6,5,9,12,32,34,20,6,10,14,21,3,4,1,1,4,1,1,2,3,3,2,3,2,1,1,2,3,0,0,1,1,4,0,1,1,0,1,2,2,7,1,0,2,1,3,2,3,1,5,5,16,9,6,3,3,5,11,19,9,1,4,6,2,2,3,2,4,3,6,5,0,2,4,2,2,4,5,0,0,0,4,7,1,4,2,4,2,0,0,0,2
"Phatthalung",1,0,1,5,3,5,3,12,9,14,7,5,25,26,29,10,17,24,36,11,19,5,5,6,13,34,8,11,9,11,4,9,3,2,7,7,6,4,11,9,4,11,19,19,50,27,32,37,35,20,23,23,17,3,13,9,7,15,12,8,17,11,11,6,5,9,7,6,3,14,2,9,28,35,28,24,16,10,7,14,12,17,9,11,19,17,19,12,13,14,14,14,20,15,5,8,21,37,26,8,6,5,2,20,22,12,29,20,27,12,21,10,7,10,12,9,5,14,29,21,25,19,16,7,9,10,6,9,7,8,5,4,6,3,4,13,1,4,3,2,0,1,3,5,18,5,11,6,7,13,61,38,38,55,36,53,45,32,32,11,10,16,23,25,13,29,19,8,12,10,8,6,9,6,2,7,7,15,4,14,16,22,21,12,7,7,8,16,11,16,10,3,1,0,2,1,1,2,1,1,1,4,4,0,3,2,6,6,2,4,4,1,8,3,1,1,1,2,1,0,0,1,0,6,4,2,5,2,0,0,2,1,0,2,2,1,6,3,0,2,2,5,3,3,1,0,1,1,0,1,3,3,1,9,22,9,5,18,131,42,32,34,43,29,22,17,16,7,4,4,6,7,1,2,1,1,2,2,3,2,1,0,2,0,2,2,1,3,3,2,2,1,1,2,0,0,5,0,1,1,1,4,7,0,1,1,1,3,0,3,1,3,0,4,1,0,1,3,1,2,2,9,2,2,5,2,1,2,3,11,4,3,2,2,4,7,7,4,1,9,4,0,2,0,3,0,1,2,2,1,3,3,1,1,0,2,0,1,4,1,0,2,1,0,1,0,2,2,1,1,2,0,0,0,1,1,0,1,0,2,1,0,2,0,2,2,0,1,1,1,2,1,3,0,2,2,5,7,2,1,1,2,3,1,2,1,1,0,1,2,4,0,0,2,0,1,3,2,1,1,1,0,1,0,0,0,1,0,1,0,1,0
"Phayao",0,6,2,3,1,1,5,4,4,16,15,25,15,18,35,25,12,7,5,1,3,3,0,0,2,3,4,7,11,15,21,20,5,5,4,11,9,25,18,30,13,34,19,37,4,8,10,5,30,24,46,23,13,17,19,20,11,12,17,12,8,16,16,15,15,16,7,9,14,13,6,20,20,31,28,17,6,10,11,10,8,1,4,0,2,7,2,2,6,34,25,17,11,26,59,10,126,67,40,26,9,13,11,8,3,1,3,2,0,1,4,0,4,5,1,0,2,1,0,1,3,1,0,4,5,12,12,3,3,4,5,9,12,9,20,11,6,6,7,3,4,0,0,1,3,13,20,5,4,3,1,5,3,1,2,3,6,2,6,1,8,8,0,3,1,1,12,20,56,27,50,25,28,66,82,62,29,26,19,9,30,21,46,16,6,3,6,5,5,4,5,0,2,2,2,1,1,3,1,5,0,1,0,0,2,1,0,6,0,4,1,12,12,9,6,6,5,1,3,3,4,2,2,2,1,0,0,2,3,3,4,3,3,3,3,4,3,1,1,0,0,4,1,0,0,2,0,0,0,1,1,1,0,0,1,0,1,0,0,0,2,1,0,1,6,1,5,8,20,8,1,7,1,1,2,5,2,4,16,4,4,2,2,2,2,2,0,3,1,2,12,9,2,7,7,4,2,1,0,2,1,1,1,4,1,2,1,0,1,0,0,1,2,2,3,2,1,1,1,1,4,14,24,4,15,8,6,4,12,5,16,17,21,30,36,27,48,38,57,47,18,8,14,16,6,8,7,9,23,26,43,30,10,6,8,6,5,17,14,21,17,15,20,13,5,6,2,0,4,1,3,0,5,2,3,3,1,0,8,2,10,21,65,81,150,108,108,28,25,7,7,6,3,2,2,1,3,7,3,1,3,1,3,2,5,5,4,4,2,2,2,3,3,3,3,4,2,1,1,1,1,0,1,1,0,3,2,0,0,3,1,0
"Phetchabun",12,52,78,54,40,28,13,6,8,8,14,11,12,59,91,61,41,20,11,10,4,2,6,16,45,47,53,40,17,7,16,27,2,3,3,0,8,40,34,28,11,8,6,12,15,19,15,15,50,95,69,75,57,41,39,52,23,20,21,12,35,44,37,16,16,14,12,15,12,14,9,12,12,22,24,20,13,16,10,13,16,10,6,4,14,8,17,7,14,34,18,39,39,54,73,23,152,179,171,64,29,38,23,19,10,4,3,3,13,17,24,14,7,20,19,7,18,18,31,63,150,105,104,59,23,20,33,27,12,25,8,27,16,23,40,31,8,7,10,17,4,7,7,7,6,24,33,13,12,15,11,9,2,5,2,2,5,15,33,18,3,7,4,2,5,9,10,16,98,97,142,63,23,19,32,67,54,43,20,26,35,32,40,19,8,12,10,10,4,2,4,2,1,7,11,9,11,0,4,5,4,1,1,1,4,5,7,5,9,23,23,57,33,34,19,40,103,126,97,25,18,34,38,34,32,49,28,13,8,15,12,2,11,2,7,5,7,13,12,5,5,7,5,8,2,10,7,5,7,3,0,1,4,7,9,14,7,6,11,6,3,2,1,5,68,27,10,4,2,9,3,4,6,6,5,2,2,5,11,4,3,7,7,1,1,11,9,7,16,10,4,7,2,8,6,8,5,9,2,1,3,9,4,3,4,8,13,6,4,5,4,1,6,2,9,7,9,3,7,4,3,3,4,3,4,5,4,4,4,2,4,3,5,1,1,3,4,3,2,0,12,15,17,11,11,4,4,7,3,3,2,4,1,3,6,0,1,1,2,2,5,4,2,2,0,0,2,2,0,1,2,0,1,0,1,2,0,3,5,2,2,1,1,1,1,5,2,4,2,14,30,5,4,5,13,6,4,0,1,1,2,2,1,1,0,1,0,2,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0
"Phetchaburi",25,24,26,6,3,3,4,4,2,4,2,3,2,5,8,3,4,3,7,19,21,7,2,4,30,31,34,18,9,8,13,9,14,12,5,4,6,4,17,8,7,5,13,11,20,13,11,15,40,54,40,22,6,10,12,10,5,11,7,3,39,12,17,9,19,24,44,17,31,24,11,13,14,13,18,7,3,4,8,11,13,28,14,8,24,29,44,25,9,16,20,28,20,27,14,42,61,78,67,20,15,9,22,20,10,9,9,20,33,36,35,23,5,3,4,4,2,2,2,3,5,3,6,9,13,11,10,27,39,88,42,44,99,62,101,42,6,12,12,8,9,2,1,3,3,5,17,5,6,2,3,2,3,4,0,2,11,15,22,7,7,14,12,18,11,10,10,14,17,19,37,21,4,13,17,31,44,30,18,31,26,13,20,4,3,3,0,1,1,0,0,1,9,0,5,4,1,1,1,0,4,7,2,0,5,5,6,7,10,11,7,24,56,45,21,14,12,3,9,4,1,8,4,4,3,0,1,1,0,1,0,0,0,1,2,0,0,1,0,0,0,0,1,2,0,0,1,1,1,1,1,1,1,0,0,2,2,4,3,8,8,2,1,2,15,12,5,9,3,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,3,0,0,1,2,1,1,1,0,2,0,3,1,2,0,0,0,1,1,0,5,2,1,1,0,1,3,3,0,0,1,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,2,2,7,2,6,2,2,1,5,2,3,2,6,7,3,4,3,1,1,4,5,0,5,2,8,4,2,3,1,1,1,0,2,3,0,2,1,1,9,12,6,8,0,0,0,1,1,2,2,0,4,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7,0,1,1,0,0
"Phichit",24,19,44,17,5,6,8,0,1,9,3,5,5,10,11,11,9,13,18,19,28,37,36,28,29,53,66,28,10,7,8,3,6,5,3,2,1,7,24,11,6,9,11,10,8,11,18,11,47,83,75,49,38,55,56,39,37,32,23,7,23,19,28,12,9,3,7,8,4,2,4,3,8,7,13,14,7,11,4,2,1,12,3,9,29,50,44,27,20,11,13,16,16,14,21,35,43,42,59,28,12,18,12,8,9,4,5,5,29,9,8,16,7,2,0,5,7,8,10,0,12,7,24,21,17,13,11,22,9,12,22,21,70,67,80,35,13,12,12,8,10,5,4,22,16,15,13,8,8,3,1,2,4,2,1,1,6,11,9,9,7,4,5,6,13,7,6,5,30,52,63,24,8,10,11,10,13,50,6,7,18,13,11,4,6,5,1,3,0,1,0,0,1,3,2,1,2,2,1,1,2,3,3,5,8,9,6,5,5,1,0,7,5,4,4,3,7,9,15,14,0,8,7,3,2,0,1,8,2,5,5,0,2,0,2,1,0,3,0,1,0,3,4,3,2,3,1,3,1,0,2,4,2,1,1,1,0,2,0,1,1,0,0,0,5,6,6,6,1,2,1,0,1,3,0,1,3,1,0,4,3,3,0,3,4,2,2,2,2,2,2,3,0,1,1,4,2,2,0,0,4,5,1,1,3,0,0,2,1,0,0,4,0,8,19,7,5,4,2,2,0,3,0,0,0,2,8,4,0,1,0,2,1,1,0,0,2,5,3,0,2,1,0,2,1,7,1,0,1,4,6,4,25,12,3,2,3,1,1,2,1,0,0,0,1,2,0,0,0,0,1,0,1,1,1,2,2,0,0,0,0,0,0,1,3,3,1,2,2,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2
"Phitsanulok",41,65,97,63,28,25,22,17,12,13,21,13,12,45,94,65,57,78,114,58,59,60,84,74,257,225,250,145,58,38,99,41,37,14,21,10,30,53,33,21,6,8,9,19,14,14,9,8,91,124,200,137,58,74,119,71,69,61,49,73,80,74,145,110,71,27,42,22,35,17,23,14,27,44,49,41,34,69,52,38,16,11,10,10,15,19,31,25,19,23,33,42,39,51,121,109,194,209,282,145,46,75,51,47,30,21,25,8,19,15,18,18,15,16,18,20,21,27,28,17,54,47,85,53,26,76,40,50,38,77,68,43,70,74,143,46,15,22,23,26,11,6,9,10,13,25,44,25,11,8,18,13,11,9,5,7,9,11,36,11,20,22,17,13,38,27,41,49,111,165,213,110,98,126,92,53,40,41,13,29,103,69,79,37,16,16,18,15,7,9,1,3,9,2,7,9,3,2,6,4,6,1,2,1,5,7,6,15,10,3,9,14,25,25,20,44,128,128,117,33,11,4,14,8,11,10,7,5,5,8,6,5,6,7,9,9,7,4,4,3,6,14,17,8,8,9,2,7,3,3,5,0,7,8,10,7,6,0,8,4,3,5,4,7,10,18,70,6,5,9,10,5,4,4,0,0,1,1,3,3,3,2,2,2,4,3,5,6,6,3,7,7,2,2,3,4,7,0,1,1,1,3,3,5,2,1,4,6,2,0,4,2,3,4,1,2,1,1,2,1,1,0,1,0,0,2,1,0,1,3,1,1,1,1,0,0,0,0,4,1,1,0,0,1,1,1,4,3,7,17,7,2,0,3,1,1,1,2,2,1,1,1,0,1,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phrae",17,11,16,15,1,6,15,12,9,6,4,4,8,13,26,29,27,22,21,24,28,16,26,13,70,96,77,42,18,16,18,5,10,9,12,12,33,46,60,37,24,13,32,49,82,116,87,70,73,97,118,71,49,63,63,73,48,73,67,52,59,70,88,44,25,19,19,27,24,17,30,34,35,35,45,22,18,19,14,7,15,18,21,19,34,40,49,30,17,26,45,72,95,114,114,92,132,93,85,13,12,15,16,13,10,22,13,13,6,12,17,13,13,13,11,5,17,33,33,27,30,36,43,29,19,17,37,33,23,42,59,60,72,66,96,66,13,11,7,15,15,16,16,15,32,9,10,7,3,7,5,5,1,2,2,4,12,17,19,3,5,10,18,8,10,16,18,21,102,156,182,82,7,8,6,4,8,16,5,14,20,13,21,8,3,2,3,4,3,2,2,2,4,9,20,4,1,6,6,2,6,3,4,0,12,20,37,22,9,7,8,18,31,15,21,11,19,21,39,17,3,2,6,6,4,4,5,2,5,7,5,2,4,7,1,1,5,5,6,3,9,19,23,17,8,5,5,7,3,9,5,3,9,6,16,3,5,4,4,2,10,5,7,6,47,52,54,12,1,2,5,8,5,3,5,2,5,7,8,11,5,17,4,16,4,0,4,1,9,3,6,2,3,6,13,11,4,3,3,1,5,1,7,1,5,1,1,3,0,3,4,4,2,6,1,0,1,3,0,0,1,1,0,0,0,0,1,1,2,1,1,3,0,0,0,0,0,0,1,0,0,45,17,4,2,0,0,1,1,2,0,2,2,1,6,1,0,1,2,0,1,5,3,1,0,3,8,4,1,0,0,2,1,1,1,2,1,3,2,4,4,0,0,1,1,1,2,0,0,1,5,2,0,0,1,2,1,1,1,1,4,0,3,3,3,2,1,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1
"Phra Nakhon Si Ayutthaya",13,8,13,5,1,3,14,4,1,2,1,2,0,16,13,6,11,24,28,11,10,9,6,7,18,41,33,19,7,20,21,17,13,23,12,8,15,28,28,20,5,16,27,15,14,11,19,34,70,137,97,95,67,39,44,28,16,15,8,21,62,101,120,51,37,51,72,36,29,23,9,11,12,14,14,19,13,10,4,5,1,1,6,4,5,5,10,4,15,18,54,61,66,30,28,11,32,21,27,10,4,2,2,1,1,2,0,0,4,3,3,1,0,7,1,1,1,0,2,2,3,4,2,2,1,2,6,4,3,1,2,0,7,13,30,16,7,10,6,1,3,0,3,3,1,5,6,4,1,0,0,0,1,2,0,0,1,1,2,1,1,2,1,2,4,6,1,5,18,68,91,47,11,16,11,12,12,6,11,9,14,9,16,12,11,8,2,1,4,0,3,3,3,2,2,4,2,4,0,3,1,0,0,0,1,7,3,2,7,5,8,10,4,9,5,5,7,19,28,14,7,11,5,10,1,0,0,1,0,0,3,0,3,5,2,3,2,0,2,1,4,3,3,3,3,2,5,0,2,1,2,1,1,0,2,0,4,1,3,1,2,0,5,4,24,10,11,7,1,4,34,27,50,14,2,2,2,3,5,3,1,0,2,2,1,0,1,0,1,0,3,0,0,0,7,1,0,1,2,1,10,4,2,1,2,0,3,0,3,2,1,1,1,0,3,2,2,2,4,3,8,6,36,20,21,35,37,18,5,10,2,3,2,5,2,4,4,13,13,3,3,6,4,6,1,2,1,2,4,11,6,9,6,3,5,0,1,4,0,1,0,1,1,0,0,1,5,3,1,0,1,0,1,1,1,0,3,2,4,1,0,0,0,2,6,2,21,49,8,15,7,19,20,18,11,6,4,3,5,6,2,7,8,5,5,5,1,0,0,2,0,0,0,0,2,7,5,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1
"Phuket",3,6,18,13,3,3,5,4,1,4,2,0,2,1,1,0,4,1,4,21,21,32,14,11,13,16,9,10,11,4,8,1,3,13,3,5,4,4,6,9,8,4,3,10,4,8,6,0,2,6,19,5,8,2,4,14,5,16,17,16,21,11,9,10,7,7,14,13,5,1,5,5,8,10,4,2,1,2,0,0,3,1,0,1,1,1,2,0,1,4,8,7,11,15,41,45,71,99,90,54,11,6,6,38,34,28,12,10,8,4,12,10,3,3,5,1,1,3,9,21,20,11,16,6,5,6,10,4,10,18,2,1,17,21,44,18,2,6,6,4,0,1,2,2,2,1,2,4,7,10,2,0,3,4,1,0,0,0,0,2,2,8,13,17,50,76,18,8,3,3,3,4,2,2,1,0,0,0,2,5,7,5,3,1,3,8,3,6,10,22,7,10,19,29,9,4,4,2,0,1,2,3,2,0,1,1,2,0,0,5,2,2,0,2,0,0,1,0,2,2,1,1,2,0,0,0,0,0,3,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,4,2,0,0,1,1,0,1,3,0,1,0,2,0,0,3,5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,3,0,0,1,0,1,1,0,0,1,2,0,0,0,1,0,0,1,1,1,0,1,1,0,1,3,0,1,0,0,3,0,4,1,3,2,6,4,4,4,4,2,0,1,0,2,1,1,2,3,5,1,1,1,0,1,4,3,1,2,3,4,4,1,3,7,3,2,0,6,11,6,2,4,1,7,3,1,3,4,2,3,2,2,0,0,2,3,5,1,0,2,0,3,2,1,3,2,2,2,1,0,0,3,22,4,1,4,3,0,1,2,3,1,3,1,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Prachin Buri",49,51,62,35,27,46,34,31,18,28,22,29,34,36,58,49,25,44,31,37,23,34,24,10,39,30,60,34,19,27,31,27,4,12,4,10,28,48,69,40,42,53,47,31,50,57,58,57,78,127,101,59,26,48,66,90,85,72,47,47,24,29,32,27,35,28,18,19,12,18,12,13,16,18,24,20,25,20,7,15,7,11,18,17,20,49,69,30,18,46,39,60,70,102,102,90,118,179,155,84,28,33,12,12,17,2,4,11,24,31,25,23,8,10,4,11,9,9,26,11,35,30,33,46,73,146,198,230,165,131,91,59,62,65,111,31,21,14,5,5,15,6,2,3,9,9,10,5,8,4,4,2,3,1,1,4,2,19,20,17,7,5,5,10,11,7,13,24,25,79,68,44,30,33,86,31,18,14,3,4,3,0,2,2,2,0,1,4,0,0,0,0,1,0,2,0,0,2,3,2,0,0,0,0,1,0,6,1,0,4,3,8,14,40,21,31,34,41,37,19,3,1,2,4,14,10,1,1,4,3,4,3,0,1,1,1,7,2,0,1,3,4,14,3,12,5,8,22,5,7,9,2,19,32,35,24,14,3,6,3,2,9,10,6,7,8,4,7,6,2,1,4,0,4,2,0,4,3,1,7,5,4,1,7,12,9,11,1,6,4,2,3,3,5,6,20,5,10,12,6,0,2,1,0,1,1,2,1,1,1,2,1,3,0,1,0,1,2,1,0,1,3,1,2,2,0,1,0,0,1,1,1,0,3,1,2,1,0,1,0,1,1,0,0,2,5,2,3,1,1,0,2,4,1,0,1,1,2,0,2,3,4,0,0,2,1,0,0,1,0,0,0,0,0,2,1,0,1,1,1,0,6,2,2,1,0,1,0,0,3,1,1,2,7,2,2,0,0,1,3,1,0,1,0,0,0,1,0,0,1,1,0,3,0,1,2,0,0,0,0,0,1,1,1,0,2,0,1,1,5,0,2
"Prachuap Khiri Khan",8,8,7,3,6,4,1,4,0,2,0,10,2,9,9,2,2,8,2,10,5,5,7,13,46,56,84,66,22,35,12,25,10,15,29,20,34,28,74,27,11,12,6,9,6,10,7,14,25,27,18,17,5,14,9,15,14,17,22,8,25,52,80,48,25,27,38,27,41,37,26,60,76,126,89,36,18,32,21,18,22,17,20,16,15,15,19,10,7,8,50,65,75,52,18,22,28,23,17,8,14,11,14,24,14,8,14,11,17,11,11,11,0,2,10,6,5,26,17,32,15,15,34,9,9,3,9,22,29,47,24,33,52,63,87,35,11,10,10,14,19,24,4,5,4,5,10,5,5,8,6,8,1,2,4,8,41,16,14,9,9,3,15,2,5,17,8,15,37,56,65,25,14,19,28,31,40,14,7,13,40,26,38,11,13,16,8,7,3,3,1,1,0,1,4,4,3,3,1,0,2,1,3,5,10,16,76,14,15,16,23,32,67,101,51,49,22,20,13,7,7,13,17,1,4,1,3,5,2,3,2,3,1,10,2,7,16,1,1,2,1,5,4,4,5,1,4,3,5,4,3,1,2,2,3,3,3,3,0,2,4,1,4,1,9,4,16,4,0,0,1,3,0,0,1,1,0,0,1,1,0,0,2,0,2,0,1,1,4,0,1,0,0,1,0,2,2,0,0,0,2,0,1,2,0,2,0,0,0,1,0,0,3,5,3,3,6,6,6,8,5,2,0,0,21,15,10,7,7,6,8,6,3,3,3,3,5,7,7,10,8,5,11,7,4,4,10,10,18,19,19,8,6,21,11,1,5,4,2,3,6,4,6,1,10,4,15,15,5,9,1,0,4,5,13,31,10,8,3,7,3,5,8,8,12,6,8,18,7,7,4,5,6,1,5,3,5,8,4,17,2,5,4,9,9,2,1,0,5,1,5,3,3,7,3,3,3,2,1,1,2,1,4,3,2,2,3,3,10,2,0,0
