"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"Saraburi",448067.0681,456170.6549,464274.2418,483000,493000,484220,489000,493600,497900,523464,531123,537774,546044,558073,565067,570683,577768,585828.044,593931.6308,602035.2176,610138.8044,618242.3912,626345.978,634449.5648,642553.1516,650656.7385,658760.3253,666863.9121,674967.4989,683071.0857,691174.6725,699278.2593,707381.8462,715485.433,723589.0198,731692.6066
"Satun",172009.7725,176976.1912,181942.6099,180000,185000,199000,206000,213600,221500,215789,220184,224597,230563,236810,240653.5,244497,250477,256438.8901,261405.3088,266371.7275,271338.1462,276304.5648,281270.9835,286237.4022,291203.8209,296170.2396,301136.6582,306103.0769,311069.4956,316035.9143,321002.333,325968.7516,330935.1703,335901.589,340868.0077,345834.4264
"Sing Buri",186872.5077,189741.9956,192611.4835,187000,188000,204270,205000,205600,206000,228566,229816,231164,221407,221264,222027,222740,225003,235653.8022,238523.2901,241392.778,244262.2659,247131.7538,250001.2418,252870.7297,255740.2176,258609.7055,261479.1934,264348.6813,267218.1692,270087.6571,272957.1451,275826.633,278696.1209,281565.6088,284435.0967,287304.5846
"Si Sa Ket",1127058.303,1145091.031,1163123.758,1196000,1222000,1201930,1218700,1234600,1248200,1292446,1323313,1348265,1335487,1365233,1384958,1396035,1410002,1433614.67,1451647.398,1469680.125,1487712.853,1505745.58,1523778.308,1541811.035,1559843.763,1577876.49,1595909.218,1613941.945,1631974.673,1650007.4,1668040.127,1686072.855,1704105.582,1722138.31,1740171.037,1758203.765
"Songkhla",882434.7484,901925.0418,921415.3352,878000,893000,1005000,1036100,1068000,1100300,1064410,1079713,1096815,1130073,1125905,1142788.5,1159672,1166519,1213769.736,1233260.03,1252750.323,1272240.616,1291730.91,1311221.203,1330711.497,1350201.79,1369692.084,1389182.377,1408672.67,1428162.964,1447653.257,1467143.551,1486633.844,1506124.137,1525614.431,1545104.724,1564595.018
"Sukhothai",534990.1231,540507.9297,546025.7363,553000,559000,558070,565200,572000,578800,586005,591344,593689,606823,613143,617096,613317,616243,628792.8352,634310.6418,639828.4484,645346.2549,650864.0615,656381.8681,661899.6747,667417.4813,672935.2879,678453.0945,683970.9011,689488.7077,695006.5143,700524.3209,706042.1275,711559.9341,717077.7407,722595.5473,728113.3538
"Suphan Buri",647822.9934,662230.5956,676638.1978,651000,650000,753390,756000,757500,759200,812838,824100,831207,825421,842052,834646,840512,847867,892752.2308,907159.833,921567.4352,935975.0374,950382.6396,964790.2418,979197.844,993605.4462,1008013.048,1022420.651,1036828.253,1051235.855,1065643.457,1080051.059,1094458.662,1108866.264,1123273.866,1137681.468,1152089.07
"Surat Thani",596762.8758,612313.4791,627864.0824,625000,635000,690000,710400,730700,751400,718656,731940,745268,791259,802073,816725.5,831378,843111,861123.1319,876673.7352,892224.3385,907774.9418,923325.5451,938876.1484,954426.7516,969977.3549,985527.9582,1001078.562,1016629.165,1032179.768,1047730.371,1063280.975,1078831.578,1094382.181,1109932.785,1125483.388,1141033.991
"Surin",1079218.888,1098460.411,1117701.934,1077000,1090000,1192080,1225800,1259700,1296400,1265333,1282150,1286855,1341385,1316693,1330022,1345220,1359549,1406324.78,1425566.303,1444807.826,1464049.349,1483290.873,1502532.396,1521773.919,1541015.442,1560256.965,1579498.488,1598740.011,1617981.534,1637223.057,1656464.58,1675706.103,1694947.626,1714189.149,1733430.673,1752672.196
"Tak",222380.9868,237254.9055,252128.8242,279000,282000,309100,316500,324300,331500,340620,347081,356342,425668,427609,440184,450153,461508,475237.6044,490111.5231,504985.4418,519859.3604,534733.2791,549607.1978,564481.1165,579355.0352,594228.9538,609102.8725,623976.7912,638850.7099,653724.6286,668598.5473,683472.4659,698346.3846,713220.3033,728094.222,742968.1407
"Trang",434265.2747,442828.9451,451392.6154,443000,449000,487000,497500,509800,522100,507955,516253,523097,540079,544605,552746,560887,564660,579847.6703,588411.3407,596975.011,605538.6813,614102.3516,622666.022,631229.6923,639793.3626,648357.033,656920.7033,665484.3736,674048.044,682611.7143,691175.3846,699739.0549,708302.7253,716866.3956,725430.0659,733993.7363
"Trat",120979.3912,127248.6132,133517.8352,132000,135000,156160,160100,163900,167900,190661,193907,199337,201639,203156,205077,208627,210054,227556.1648,233825.3868,240094.6088,246363.8308,252633.0527,258902.2747,265171.4967,271440.7187,277709.9407,283979.1626,290248.3846,296517.6066,302786.8286,309056.0505,315325.2725,321594.4945,327863.7165,334132.9385,340402.1604
"Ubon Ratchathani",1807990.659,1806291.297,1804591.934,1698000,1733000,1758530,1788200,1817500,1845100,1881427,1918086,1946891,1945179,1660107,1679867,1696795,1717172,1779101.495,1777402.132,1775702.769,1774003.407,1772304.044,1770604.681,1768905.319,1767205.956,1765506.593,1763807.231,1762107.868,1760408.505,1758709.143,1757009.78,1755310.418,1753611.055,1751911.692,1750212.33,1748512.967
"Udon Thani",1742772.479,1731361.053,1719949.626,1581000,1612000,1624300,1648600,1671600,1693900,1782563,1812821,1840153,1846154,1398991,1441971,1456154,1470888,1548778.231,1537366.804,1525955.378,1514543.952,1503132.525,1491721.099,1480309.673,1468898.246,1457486.82,1446075.393,1434663.967,1423252.541,1411841.114,1400429.688,1389018.262,1377606.835,1366195.409,1354783.982,1343372.556
"Uthai Thani",273795.0989,277158.4945,280521.8901,285000,292000,285160,292100,299600,305900,299901,302858,305858,318595,319094,322670,324730,326997,330972.8242,334336.2198,337699.6154,341063.011,344426.4066,347789.8022,351153.1978,354516.5934,357879.989,361243.3846,364606.7802,367970.1758,371333.5714,374696.967,378060.3626,381423.7582,384787.1538,388150.5495,391513.9451
"Uttaradit",446545.4615,448530.8791,450516.2967,453000,461000,452010,458100,463700,469600,454471,458081,461722,475564,474872,476938,476997,479642,480297.5604,482282.978,484268.3956,486253.8132,488239.2308,490224.6484,492210.0659,494195.4835,496180.9011,498166.3187,500151.7363,502137.1538,504122.5714,506107.989,508093.4066,510078.8242,512064.2418,514049.6593,516035.0769
"Yala",267829.2824,276618.9407,285408.5989,281000,287000,320000,330400,341500,352800,344728,352977,359963,375482,380787,390075.5,399364,402558,417253.4725,426043.1308,434832.789,443622.4473,452412.1055,461201.7637,469991.422,478781.0802,487570.7385,496360.3967,505150.0549,513939.7132,522729.3714,531519.0297,540308.6879,549098.3462,557888.0044,566677.6626,575467.3209
"Yasothon",475979.7692,480349.8462,484719.9231,492000,499000,494320,499100,501600,505400,518515,523540,529752,528277,525414,537770,543283,546966,550271.0769,554641.1538,559011.2308,563381.3077,567751.3846,572121.4615,576491.5385,580861.6154,585231.6923,589601.7692,593971.8462,598341.9231,602712,607082.0769,611452.1538,615822.2308,620192.3077,624562.3846,628932.4615
